year,passengerrank,airportcode,airportname,cityname,statename,avgfare,inflationadj,passengersample
2013,52,RSW,Southwest Florida International,Fort Myers,FL,324.00,349.25,154405
2014,52,RSW,Southwest Florida International,Fort Myers,FL,329.78,349.80,154405
2015,52,RSW,Southwest Florida International,Fort Myers,FL,317.94,336.84,154405
2016,52,RSW,Southwest Florida International,Fort Myers,FL,304.63,318.72,154405
2017,52,RSW,Southwest Florida International,Fort Myers,FL,312.52,320.15,154405
2018,52,RSW,Southwest Florida International,Fort Myers,FL,312.52,320.15,154405
2008,51,SJU,Luis Munoz Marin International,San Juan,PR,313.60,365.75,182250
2009,51,SJU,Luis Munoz Marin International,San Juan,PR,282.61,330.78,182250
2010,51,SJU,Luis Munoz Marin International,San Juan,PR,290.40,334.42,182250
2011,51,SJU,Luis Munoz Marin International,San Juan,PR,318.62,355.69,182250
2012,51,SJU,Luis Munoz Marin International,San Juan,PR,294.15,321.72,182250
2013,51,SJU,Luis Munoz Marin International,San Juan,PR,307.89,331.88,182250
2014,51,SJU,Luis Munoz Marin International,San Juan,PR,308.05,326.75,182250
2015,51,SJU,Luis Munoz Marin International,San Juan,PR,330.08,349.71,182250
2016,51,SJU,Luis Munoz Marin International,San Juan,PR,285.26,298.45,182250
2017,51,SJU,Luis Munoz Marin International,San Juan,PR,290.46,297.55,182250
2018,51,SJU,Luis Munoz Marin International,San Juan,PR,290.46,297.55,182250
2008,50,BDL,Bradley International,Hartford,CT,384.74,448.72,195532
2009,50,BDL,Bradley International,Hartford,CT,345.49,404.38,195532
2010,50,BDL,Bradley International,Hartford,CT,374.63,431.42,195532
2011,50,BDL,Bradley International,Hartford,CT,380.63,424.91,195532
2012,50,BDL,Bradley International,Hartford,CT,406.41,444.49,195532
2013,50,BDL,Bradley International,Hartford,CT,402.60,433.96,195532
2014,50,BDL,Bradley International,Hartford,CT,393.58,417.47,195532
2015,50,BDL,Bradley International,Hartford,CT,397.66,421.30,195532
2016,50,BDL,Bradley International,Hartford,CT,385.17,402.98,195532
2017,50,BDL,Bradley International,Hartford,CT,373.77,382.89,195532
2018,50,BDL,Bradley International,Hartford,CT,373.77,382.89,195532
2008,49,MKE,General Mitchell International,Milwaukee,WI,334.05,389.60,201461
2009,49,MKE,General Mitchell International,Milwaukee,WI,267.50,313.10,201461
2010,49,MKE,General Mitchell International,Milwaukee,WI,258.74,297.96,201461
2011,49,MKE,General Mitchell International,Milwaukee,WI,294.92,329.23,201461
2012,49,MKE,General Mitchell International,Milwaukee,WI,322.28,352.47,201461
2013,49,MKE,General Mitchell International,Milwaukee,WI,353.80,381.36,201461
2014,49,MKE,General Mitchell International,Milwaukee,WI,364.24,386.35,201461
2015,49,MKE,General Mitchell International,Milwaukee,WI,362.56,384.12,201461
2016,49,MKE,General Mitchell International,Milwaukee,WI,336.83,352.41,201461
2017,49,MKE,General Mitchell International,Milwaukee,WI,337.54,345.79,201461
2018,49,MKE,General Mitchell International,Milwaukee,WI,337.54,345.79,201461
2008,48,SAT,San Antonio International,San Antonio,TX,329.79,384.64,205456
2009,48,SAT,San Antonio International,San Antonio,TX,301.61,353.03,205456
2010,48,SAT,San Antonio International,San Antonio,TX,325.31,374.62,205456
2011,48,SAT,San Antonio International,San Antonio,TX,353.71,394.86,205456
2012,48,SAT,San Antonio International,San Antonio,TX,377.14,412.48,205456
2013,48,SAT,San Antonio International,San Antonio,TX,392.00,422.54,205456
2014,48,SAT,San Antonio International,San Antonio,TX,403.04,427.51,205456
2015,48,SAT,San Antonio International,San Antonio,TX,399.49,423.24,205456
2016,48,SAT,San Antonio International,San Antonio,TX,385.75,403.59,205456
2017,48,SAT,San Antonio International,San Antonio,TX,374.44,383.59,205456
2018,48,SAT,San Antonio International,San Antonio,TX,374.44,383.59,205456
2008,47,CMH,John Glenn Columbus International,Columbus,OH,324.73,378.74,206681
2009,47,CMH,John Glenn Columbus International,Columbus,OH,282.68,330.87,206681
2010,47,CMH,John Glenn Columbus International,Columbus,OH,309.50,356.42,206681
2011,47,CMH,John Glenn Columbus International,Columbus,OH,346.54,386.85,206681
2012,47,CMH,John Glenn Columbus International,Columbus,OH,370.68,405.41,206681
2013,47,CMH,John Glenn Columbus International,Columbus,OH,395.07,425.85,206681
2014,47,CMH,John Glenn Columbus International,Columbus,OH,413.32,438.41,206681
2015,47,CMH,John Glenn Columbus International,Columbus,OH,400.00,423.78,206681
2016,47,CMH,John Glenn Columbus International,Columbus,OH,368.89,385.95,206681
2017,47,CMH,John Glenn Columbus International,Columbus,OH,366.22,375.16,206681
2018,47,CMH,John Glenn Columbus International,Columbus,OH,366.22,375.16,206681
2008,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,570.18,665.00,207564
2009,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,385.74,451.49,207564
2010,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,424.10,488.38,207564
2011,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,482.57,538.71,207564
2012,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,524.95,574.14,207564
2013,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,520.06,560.58,207564
2014,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,513.30,544.46,207564
2015,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,434.60,460.44,207564
2016,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,382.64,400.34,207564
2017,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,335.72,343.92,207564
2018,46,CVG,Cincinnati/Northern Kentucky International,Cincinnati,OH,335.72,343.92,207564
2008,45,HOU,William P Hobby,Houston-Hobby,TX,265.57,309.74,234578
2009,45,HOU,William P Hobby,Houston-Hobby,TX,260.18,304.53,234578
2010,45,HOU,William P Hobby,Houston-Hobby,TX,283.67,326.67,234578
2011,45,HOU,William P Hobby,Houston-Hobby,TX,306.91,342.62,234578
2012,45,HOU,William P Hobby,Houston-Hobby,TX,325.82,356.35,234578
2013,45,HOU,William P Hobby,Houston-Hobby,TX,342.54,369.23,234578
2014,45,HOU,William P Hobby,Houston-Hobby,TX,354.63,376.16,234578
2015,45,HOU,William P Hobby,Houston-Hobby,TX,342.17,362.51,234578
2016,45,HOU,William P Hobby,Houston-Hobby,TX,340.28,356.02,234578
2017,45,HOU,William P Hobby,Houston-Hobby,TX,329.40,337.44,234578
